#{"t_start": 1620074777.0286274, "env_id": null}
r,l,t
1050.256104,30,1734.10916
-1003.8479,30,1734.210456
367.103516,30,1734.308826
-614.042236,30,1734.404679
1077.506836,30,1734.508207
-152.873291,30,1734.605444
-1102.512451,30,1734.694057
-541.493164,30,1734.788003
-243.758545,30,1734.882046
838.024902,30,1734.980859
1795.841309,30,1735.077955
-511.905762,30,1735.174582
1160.388672,30,1735.270663
322.262695,30,1735.364084
-299.973877,30,1735.462236
1763.722168,30,1735.558156
-1069.300781,30,1735.666933
615.976807,30,1735.768667
1728.150635,30,1735.86309
-1688.935059,30,1770.391701
1630.410522,30,1770.515256
2197.305664,30,1770.644309
392.198853,30,1770.767324
1196.667969,30,1770.884691
-1188.314941,30,1771.021097
672.627075,30,1771.148321
-3225.235596,30,1771.272981
31.316162,30,1771.387736
-199.373535,30,1771.514127
458.397705,30,1771.635654
2317.649414,30,1771.757273
608.860107,30,1771.879624
717.024902,30,1772.00314
196.836426,30,1772.098036
-340.994385,30,1772.213685
-454.230957,30,1772.317801
653.064697,30,1772.404086
-229.328369,30,1772.464813
1223.275635,30,1772.548375
828.264038,30,1772.607936
2315.010254,30,1772.668484
-435.699463,30,1772.729047
1828.533203,30,1772.802942
2079.986816,30,1772.864218
293.23291,30,1772.924049
1152.988281,30,1772.984647
1467.536377,30,1773.043971
746.866211,30,1773.103708
710.179199,30,1773.170364
585.310791,30,1773.231236
-436.537598,30,1773.308779
1219.633423,30,1773.376868
-455.329346,30,1773.457776
2748.576904,30,1773.54263
1654.661133,30,1773.620309
-808.216797,30,1773.708378
345.506226,30,1773.800801
501.60675,30,1773.878346
-923.560547,30,1773.960424
1723.953613,30,1774.022277
620.137207,30,1774.082551
-1133.672363,30,1774.141714
-428.021729,30,1774.201508
1143.906006,30,1774.261658
-27.276367,30,1774.32159
-25.288818,30,1774.381814
-937.539185,30,1774.443214
2119.606689,30,1774.504072
1595.758301,30,1774.569615
-1365.453979,30,1774.63412
466.547729,30,1774.698091
1915.236694,30,1774.76128
665.468018,30,1774.844911
-451.831787,30,1774.945117
964.57666,30,1775.029696
281.278076,30,1957.76774
-815.339355,30,1957.829036
411.579102,30,1957.888793
-324.794556,30,1957.95096
435.200195,30,1958.012307
-509.089233,30,1958.072546
-1030.374878,30,1958.132923
-1595.19458,30,1958.193655
488.138794,30,1958.253218
987.337402,30,1958.313632
870.162598,30,1958.372774
895.408447,30,1958.43431
616.058594,30,1958.495202
630.763428,30,1958.554619
1156.330566,30,1958.614008
-1958.065186,30,1958.673291
616.298828,30,1958.74241
1843.885986,30,1958.802129
1091.709717,30,1958.862125
871.960938,30,1958.926895
1193.675537,30,1958.992102
384.323975,30,1959.052906
-1409.893066,30,1959.113888
181.26709,30,1959.195608
1254.591309,30,1959.289138
134.80127,30,1959.37457
699.21582,30,1959.456456
1612.160645,30,1959.543025
-159.005859,30,1959.628284
-194.140869,30,1959.698448
310.52832,30,1959.783211
-673.538452,30,1959.882588
-910.439331,30,1959.993573
1140.0625,30,1960.103434
-144.376953,30,1960.215228
